MES_FEMINICIDIO,CEM,VICTIMA_EDAD,VICTIMA_NRO_HIJOS,VICTIMA_EMBARAZO,DPTO_OCURRIO,PROV_OCURRIO,DIST_OCURRIO,ZONA_OCURRIO,AGRESOR_EDAD,ALCOHOL_DROGAS,VINCULO,AGRESOR_TRABAJA,ACUCHILLAMIENTO,GOLPES_DIVERSOS,DISPARO_BALA,ENVENENAMIENTO,DESBARRANCAMIENTO,ASFIXIA_ESTRAGULAMIENTO,ATROPELLAMIENTO,QUEMADURA,OTRO,LUGAR_DEL_FEMINICIDIO,MEDIDAS_TOMO_PROTECCION,SITUACION_DEL_AGRESOR
7,COMISARIA ALFONSO UGARTE,40,0,0,LIMA,LIMA,LIMA,1,49,0,OTRO FAMILIAR,0, , ,1, , , , , , ,1,1,2
7,PISCO,33,3,0,ICA,PISCO,PARACAS,1,26,1,CONVIVIENTE,0, , , , , , , , ,1,5,1,1
7,CONDORCANQUI,22,2,0,AMAZONAS,CONDORCANQUI,CENEPA,2, ,0,CONVIVIENTE,1, , ,1, , , , , , ,9,6,2
7,LA VICTORIA,20,0,0,LIMA,LIMA,LA VICTORIA,1,22,0,CONVIVIENTE,1,1, , , , , , , , ,3,1,1
7,LIMA,32,2,0,LIMA,LIMA,JESUS MARIA,1,46,0,EX ENAMORADO,0, , ,1, , , , , , ,5,9,6
8,SAN JUAN DE LURIGANCHO,32,3,0,LIMA,LIMA,SAN JUAN DE LURIGANCHO,1,45,0,CONVIVIENTE,1, ,1, , , , ,1, , ,1,1,1
8,COMISARIA IMPERIAL,26,2,0,LIMA,CAÑETE,SAN VICENTE,1,28,1,CONVIVIENTE,1, , , , , ,1, , ,1,5,1,2
8,COMISARIA DE FAMILIA CAJAMARCA,46,0,0,CAJAMARCA,CAJAMARCA,BAÑOS DEL INCA,2,46,1,EX CONVIVIENTE,1, , , , , , , , ,1,9,8,6
8,CHUPACA,18,0,0,JUNIN,CHUPACA,AHUAC,2,20,0,ENAMORADO,1, , , ,1, , , , , ,9,1,6
8,LAMAS,55,0,0,SAN MARTIN,LAMAS,BARRANQUITA,2,58,1,CONVIVIENTE,0, , ,1, , , , , ,1,9,1,1
8,COMISARIA FLORENCIA DE MORA,31,4,0,LA LIBERTAD,TRUJILLO,TRUJILLO,1,38,1,EX CONVIVIENTE,1, , ,1, , , , , , ,9,6,4
8,COMISARIA CHANCAY,38,1,0,LIMA,HUARAL,CHANCAY,2,46,0,ESPOSO,1, , , , , ,1, , , ,3,4,1
8,YURIMAGUAS,34,6,0,LORETO,ALTO AMAZONAS,YURIMAGUAS,2,44,0,CONVIVIENTE,0,1,1, , , , , , , ,1,1,4
8,CARAVELI,22,2,0,AREQUIPA,CARAVELI,CHAPARRA,2,33,0,CONVIVIENTE,1,1, , , , , , , , ,1,1,1
8,COMISARIA CIUDAD NUEVA,30,3,0,TACNA,TACNA,POCOLLAY,1, , ,DESCONOCIDO, ,1, , , , , , , , ,9,8,6
8,HUANCAVELICA,32,0,0,HUANCAVELICA,HUANCAVELICA,VILCA,2,48,1,PROGENITOR DE SU HIJO,1, , , , , , , ,1, ,9,1,6
8,HUANCAVELICA,24,0,0,HUANCAVELICA,HUANCAVELICA,VILCA,2,48,1,OTRO FAMILIAR,1, , , , , , , ,1, ,9,1,6
8,INDEPENDENCIA,20,1,0,LIMA,LIMA,INDEPENDENCIA,1,29,1,CONVIVIENTE,0, , , , , ,1, , , ,9,8,1
8,CHEPEN,70,0,0,LA LIBERTAD,CHEPEN,PACANGA,2,36,0,OTRO,1, , , , , ,1, , ,1,9,1,6
8,TARAPOTO,34,3,0,SAN MARTIN,SAN MARTIN,MORALES,1,26,0,CONVIVIENTE,0,1, , , , , , , , ,1,1,1
8,PACHACUTEC,18,0,1,CALLAO,CALLAO,VENTANILLA,1,18,0,CONVIVIENTE,1, , , , , ,1, , , ,3,1,1
